phase,start_date,end_date,event_date,note
Phase one: first national lockdown,2020-03-23,2020-07-04,2020-03-23,First National Lockdown. All non- essential high street businesses closed and people ordered to stay home
Phase one: first national lockdown,2020-03-23,2020-06-01,2020-05-13,Outdoor recreation permitted
Phase one: first national lockdown,2020-03-23,2020-07-04,2020-06-01,Requirement  to  be home overnight and people were permitted to meet outside with up to six people
Phase two: minimal lockdown restrictions,2020-07-04,2020-09-14,2020-07-04,"Hospitality businesses were permitted to reopen. Gatherings up to thirty people were legally permitted, although the Government was still recommending people avoid gatherings larger than six"
Phase two: minimal lockdown restrictions,2020-07-04,2020-09-14,2020-08-03,Eat out to help out
Phase three: reimposing restrictions,2020-09-14,2020-11-05,2020-09-14,The new rule of six applied in both indoor and outdoor spaces
Phase three: reimposing restrictions,2020-09-14,2020-11-05,2020-09-25,"Pubs, bars and restaurants had to shut between 10pm and 6am"
Phase three: reimposing restrictions,2020-09-14,2020-11-05,2020-10-14,Introduction of the first three tier system
Phase four: second national lockdown,2020-11-05,2020-12-02,2020-11-05,Second National Lockdown. National restrictions reintroduced in England. People could leave home to meet one person from outside their support bubble outside
Phase five: reintroducing a tier system,2020-12-02,2021-01-06,2020-12-02,Tier system reintroduced
Phase five: reintroducing a tier system,2020-12-02,2021-01-06,2020-12-19,Tier 4 introduced
Phase five: reintroducing a tier system,2020-12-02,2021-01-06,2020-12-30,Tier 4 for 75% of the country
Phase six: third national lockdown,2021-01-06,2021-02-15,2021-01-06,Third National Lockdown. Rules like the rules in the first lockdown.
