event,start_date
Google mobility report data start,2020-02-15
First National Lockdown,2020-03-23
Outdoor recreation permitted,2020-05-13
Rule of six,2020-06-01
Hospitality reopen. Gatherings up to thirty people,2020-07-04
Eat out to help out,2020-08-03
The new rule of six both indoor and outdoor,2020-09-14
Hospitality had to shut between 10pm and 6am,2020-09-25
First three tier system,2020-10-14
Second National Lockdown. Meet one person outside,2020-11-05
Tier system was reintroduced,2020-12-02
Tier 4 introduced,2020-12-19
Third National Lockdown,2021-01-06
Google mobility report data end,2021-02-13
